module_name,rel_path,remove,category,reason
algif_aead,kernel/crypto/algif_aead.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (algif-aead); maintain disabled state.
bluetooth,kernel/net/bluetooth/bluetooth.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (bluetooth); maintain disabled state.
cramfs,kernel/fs/cramfs/cramfs.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (cramfs); maintain disabled state.
floppy,kernel/drivers/block/floppy.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (floppy); maintain disabled state.
freevxfs,kernel/fs/freevxfs/freevxfs.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (freevxfs); maintain disabled state.
hfs,kernel/fs/hfs/hfs.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (hfs); maintain disabled state.
hfsplus,kernel/fs/hfsplus/hfsplus.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (hfsplus); maintain disabled state.
jffs2,kernel/fs/jffs2/jffs2.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (jffs2); maintain disabled state.
rds,kernel/net/rds/rds.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (rds); maintain disabled state.
sctp,kernel/net/sctp/sctp.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (sctp); maintain disabled state.
tipc,kernel/net/tipc/tipc.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (tipc); maintain disabled state.
udf,kernel/fs/udf/udf.ko.zst,No,Cloud Guest Provisioning (Azure),Provisioning media filesystem on Azure (disabled, then re-enabled on Azure via enable_udf_module)
usb-storage,kernel/drivers/usb/storage/usb-storage.ko.zst,Yes,Already Disabled in apply.sh,Already disabled in apply.sh:9-25 (usb-storage); maintain disabled state.
amd_axi_w1,kernel/drivers/w1/masters/amd_axi_w1.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
ds2482,kernel/drivers/w1/masters/ds2482.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
ds2490,kernel/drivers/w1/masters/ds2490.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
matrox_w1,kernel/drivers/w1/masters/matrox_w1.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
sgi_w1,kernel/drivers/w1/masters/sgi_w1.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1-gpio,kernel/drivers/w1/masters/w1-gpio.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1-uart,kernel/drivers/w1/masters/w1-uart.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds2405,kernel/drivers/w1/slaves/w1_ds2405.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds2406,kernel/drivers/w1/slaves/w1_ds2406.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
